Offset,Time
+0.001,16:38:43.481251
+0.001,16:38:44.536371
+0.002,16:38:45.575754
+0.001,16:38:46.617833
-0.028,16:38:47.733722
+0.001,16:38:48.772586
+0.040,16:38:49.892449
-0.000,16:38:50.931567
+0.001,16:38:51.970676
+0.000,16:38:53.007638
+0.000,16:38:54.048521
+0.001,16:38:55.091346
+0.001,16:38:56.131051
-0.024,16:38:57.257420
-0.000,16:38:58.293858
+0.001,16:38:59.333716
+0.000,16:39:00.372207
-0.001,16:39:01.410751
+0.001,16:39:02.449561
+0.002,16:39:03.494764
+0.000,16:39:04.535424
+0.001,16:39:05.572116
+0.000,16:39:06.608768
+0.001,16:39:07.649417
+0.000,16:39:08.689128
+0.001,16:39:09.730786
+0.002,16:39:10.773084
-0.040,16:39:11.901476
+0.001,16:39:12.938819
+0.002,16:39:13.978667
+0.003,16:39:15.019627
+0.001,16:39:16.058201
+0.001,16:39:17.098609
+0.002,16:39:18.139200
+0.003,16:39:19.181799
+0.001,16:39:20.220472
-0.022,16:39:21.320973
+0.000,16:39:22.361706
-0.027,16:39:23.471682
+0.000,16:39:24.510651
+0.001,16:39:25.550278
+0.001,16:39:26.592031
-0.015,16:39:27.669856
+0.000,16:39:28.709622
-0.027,16:39:29.821963
+0.002,16:39:30.862746
+0.001,16:39:31.902806
-0.000,16:39:32.948309
+0.002,16:39:33.997102
+0.001,16:39:35.041001
+0.001,16:39:36.080586
-0.012,16:39:37.193432
+0.001,16:39:38.237562
+0.001,16:39:39.277962
+0.001,16:39:40.318329
-0.005,16:39:41.392277
+0.002,16:39:42.432685
+0.003,16:39:43.471044
+0.001,16:39:44.514559
+0.002,16:39:45.552987
+0.002,16:39:46.594953
-0.000,16:39:47.642157
-0.038,16:39:48.768136
+0.002,16:39:49.812827
-0.011,16:39:50.904397
+0.003,16:39:51.942377
+0.002,16:39:52.982355
-0.000,16:39:54.021846
+0.000,16:39:55.065666
+0.001,16:39:56.108798
+0.001,16:39:57.150249
+0.002,16:39:58.192831
+0.043,16:39:59.327027
+0.001,16:40:00.369694
+0.001,16:40:01.417130
+0.002,16:40:02.454134
+0.001,16:40:03.491302
+0.001,16:40:04.531304
+0.002,16:40:05.571517
+0.001,16:40:06.609792
-0.026,16:40:07.709966
-0.000,16:40:08.756296
+0.001,16:40:09.799631
+0.001,16:40:10.840411
+0.019,16:40:11.917899
+0.001,16:40:12.958857
+0.001,16:40:13.999093
+0.002,16:40:15.043276
+0.002,16:40:16.087684
+0.002,16:40:17.131397
+0.001,16:40:18.175016
+0.002,16:40:19.213007
+0.002,16:40:20.253368
-0.005,16:40:21.328639
+0.002,16:40:22.369621
+0.001,16:40:23.409308
+0.001,16:40:24.450712
-0.001,16:40:25.529577
+0.001,16:40:26.568021
+0.000,16:40:27.606539
-0.025,16:40:28.701598
+0.000,16:40:29.743007
+0.001,16:40:30.783482
+0.001,16:40:31.824589
+0.001,16:40:32.863422
-0.001,16:40:33.902163
+0.002,16:40:34.940156
-0.043,16:40:36.073006
-0.000,16:40:37.115679
-0.032,16:40:38.229642
+0.001,16:40:39.269351
+0.001,16:40:40.311347
+0.001,16:40:41.349030
+0.001,16:40:42.392276
+0.001,16:40:43.424875
+0.003,16:40:44.467086
-0.000,16:40:45.507358
-0.020,16:40:46.622101
+0.001,16:40:47.657035
+0.002,16:40:48.694089
-0.023,16:40:49.795587
+0.002,16:40:50.833967
+0.001,16:40:51.871502
+0.001,16:40:52.904842
+0.001,16:40:53.941646
+0.002,16:40:54.976535
+0.001,16:40:56.012645
+0.001,16:40:57.053441
-0.000,16:40:58.094602
+0.000,16:40:59.131488
-0.033,16:41:00.240684
+0.001,16:41:01.277631
+0.001,16:41:02.317165
-0.000,16:41:03.353918
+0.002,16:41:04.393064
+0.001,16:41:05.427649
+0.002,16:41:06.471409
+0.000,16:41:07.508391
+0.000,16:41:08.544235
-0.003,16:41:09.662130
+0.000,16:41:10.705147
+0.002,16:41:11.745335
+0.000,16:41:12.784593
+0.002,16:41:13.821966
+0.001,16:41:14.858031
+0.001,16:41:15.896844
+0.005,16:41:16.942401
+0.002,16:41:17.988298
+0.000,16:41:19.025410
+0.001,16:41:20.062714
+0.001,16:41:21.098094
+0.001,16:41:22.139853
+0.002,16:41:23.181061
+0.002,16:41:24.222215
+0.002,16:41:25.261043
+0.003,16:41:26.300948
+0.003,16:41:27.336807
+0.001,16:41:28.377945
+0.002,16:41:29.411968
+0.002,16:41:30.447737
+0.002,16:41:31.481465
+0.000,16:41:32.516294
+0.025,16:41:33.624012
+0.001,16:41:34.667322
+0.001,16:41:35.702392
+0.003,16:41:36.744629
+0.001,16:41:37.782791
+0.001,16:41:38.817719
+0.001,16:41:39.852098
+0.000,16:41:40.891228
+0.001,16:41:41.929989
+0.001,16:41:42.969746
+0.001,16:41:44.007904
+0.001,16:41:45.050439
-0.000,16:41:46.091288
+0.000,16:41:47.129989
-0.046,16:41:48.266961
-0.000,16:41:49.305207
+0.000,16:41:50.346851
+0.001,16:41:51.389035
-0.011,16:41:52.464945
+0.002,16:41:53.507748
+0.002,16:41:54.549092
+0.002,16:41:55.592343
-0.013,16:41:56.663255
+0.003,16:41:57.699661
+0.002,16:41:58.738053
+0.002,16:41:59.777596
-0.021,16:42:00.862114
+0.001,16:42:01.904198
-0.030,16:42:03.012315
+0.001,16:42:04.052514
+0.001,16:42:05.087240
+0.001,16:42:06.125663
-0.017,16:42:07.211619
+0.002,16:42:08.253488
+0.001,16:42:09.288495
+0.001,16:42:10.328377
+0.001,16:42:11.366547
+0.001,16:42:12.405536
+0.001,16:42:13.444679
-0.046,16:42:14.582631
+0.001,16:42:15.621647
+0.001,16:42:16.657894
+0.001,16:42:17.697126
+0.002,16:42:18.737581
+0.002,16:42:19.778483
+0.001,16:42:20.820844
+0.002,16:42:21.860405
+0.001,16:42:22.899337
+0.002,16:42:23.939713
+0.001,16:42:24.978172
+0.001,16:42:26.017584
+0.002,16:42:27.054787
+0.002,16:42:28.091589
-0.046,16:42:29.226778
+0.001,16:42:30.263242
-0.008,16:42:31.380500
+0.002,16:42:32.413920
-0.003,16:42:33.527297
+0.001,16:42:34.565822
+0.002,16:42:35.611002
+0.002,16:42:36.648469
+0.001,16:42:37.688260
+0.001,16:42:38.726104
+0.002,16:42:39.768070
+0.001,16:42:40.802835
+0.003,16:42:41.844476
-0.023,16:42:42.939242
+0.002,16:42:43.982814
-0.034,16:42:45.098705
+0.001,16:42:46.136804
-0.028,16:42:47.254657
+0.000,16:42:48.295038
-0.013,16:42:49.401469
+0.001,16:42:50.437220
+0.002,16:42:51.475373
+0.001,16:42:52.517355
+0.001,16:42:53.557383
-0.007,16:42:54.621666
+0.001,16:42:55.659509
+0.000,16:42:56.697238
+0.001,16:42:57.748418
+0.002,16:42:58.800454
+0.000,16:42:59.847495
+0.001,16:43:00.893189
-0.026,16:43:01.994919
+0.002,16:43:03.033002
-0.025,16:43:04.148324
+0.002,16:43:05.186405
+0.002,16:43:06.221770
+0.001,16:43:07.257319
-0.016,16:43:08.344380
+0.002,16:43:09.385544
+0.002,16:43:10.423075
+0.001,16:43:11.463471
+0.000,16:43:12.501105
+0.001,16:43:13.542032
+0.012,16:43:14.603184
+0.000,16:43:15.642183
+0.002,16:43:16.682320
+0.001,16:43:17.723943
+0.002,16:43:18.767007
+0.001,16:43:19.805476
+0.002,16:43:20.845281
-0.030,16:43:21.967513
+0.000,16:43:23.008478
+0.002,16:43:24.048238
+0.000,16:43:25.082938
+0.002,16:43:26.125743
+0.001,16:43:27.164660
+0.002,16:43:28.208065
-0.042,16:43:29.333910
+0.002,16:43:30.369592
+0.003,16:43:31.410329
+0.000,16:43:32.449589
-0.001,16:43:33.487751
+0.003,16:43:34.530594
+0.002,16:43:35.573287
+0.002,16:43:36.608217
+0.002,16:43:37.651202
+0.003,16:43:38.692134
+0.002,16:43:39.732016
-0.014,16:43:40.808184
+0.002,16:43:41.846900
-0.035,16:43:42.959514
+0.002,16:43:44.000623
+0.001,16:43:45.040290
+0.003,16:43:46.078905
+0.003,16:43:47.123387
+0.001,16:43:48.177346
+0.002,16:43:49.212282
+0.001,16:43:50.250889
+0.003,16:43:51.295180
+0.001,16:43:52.333704
-0.013,16:43:53.401613
+0.001,16:43:54.442859
+0.002,16:43:55.483729
+0.000,16:43:56.520894
+0.001,16:43:57.561849
+0.001,16:43:58.605696
+0.001,16:43:59.642790
-0.048,16:44:00.777561
+0.000,16:44:01.815688
+0.001,16:44:02.857747
+0.001,16:44:03.900261
+0.002,16:44:04.947068
+0.000,16:44:05.983060
+0.004,16:44:07.027121
+0.001,16:44:08.078043
+0.002,16:44:09.115158
+0.002,16:44:10.157044
+0.003,16:44:11.201008
+0.002,16:44:12.241312
+0.002,16:44:13.276997
+0.001,16:44:14.317381
+0.002,16:44:15.354539
+0.002,16:44:16.392649
+0.002,16:44:17.433104
+0.001,16:44:18.471286
+0.001,16:44:19.511720
+0.048,16:44:20.647998
+0.001,16:44:21.684834
+0.001,16:44:22.724950
+0.001,16:44:23.764742
+0.001,16:44:24.804622
+0.001,16:44:25.843981
-0.000,16:44:26.881323
-0.045,16:44:28.012316
+0.002,16:44:29.053163
+0.000,16:44:30.093314
+0.000,16:44:31.130631
+0.001,16:44:32.168952
+0.001,16:44:33.207644
+0.002,16:44:34.251410
-0.034,16:44:35.366047
+0.002,16:44:36.401471
+0.001,16:44:37.438763
+0.002,16:44:38.475480
